index,score,text,empty,index,score,text
425,0.99890113,"I’ve known for some time what my life’s work is, using my hands as tools to relieve suffering.” In 2013, while caring for suffering civilians in Syria, Kayla was kidnapped, tortured, and enslaved by ISIS, and kept as a prisoner of al-Baghdadi himself.",,342,0.47080778,"The killer had been previously arrested for assault, but under New York’s sanctuary policies, he was set free."
188,0.99869734,"A few weeks ago, I signed a bill promoting Charles McGee to Brigadier General.",,392,0.46834076,"Working with Senate Majority Leader Mitch McConnell — thank you, Mitch — (applause) — and his colleagues in the Senate, we have confirmed a record number of 187 new federal judges to uphold our Constitution as written."
140,0.99852318,"We are supporting the hopes of Cubans, Nicaraguans, and Venezuelans to restore democracy.",,276,0.45790946,Drug overdose deaths declined for the first time in nearly 30 years.
344,0.99848121,The state of California passed an outrageous law declaring their whole state to be a sanctuary for criminal illegal immigrants — a very terrible sanctuary — with catastrophic results.,,10,0.45761383,"The days of our country being used, taken advantage of, and even scorned by other nations are long behind us."
429,0.99827194,He was told that the brave men of the elite Special Forces team that so perfectly carried out the operation had given their mission a name: “Task Force 8-14.” It was a reference to a special day: August 14th — Kayla’s birthday.,,378,0.45388307,"And as the wall rapidly goes up, drug seizures rise, and the border crossings are down, and going down very rapidly."
162,0.99794632,"We have purchased the finest planes, missiles, rockets, ships, and every other form of military equipment, and it’s all made right here in the USA.",,182,0.45081929,Charles is one of the last surviving Tuskegee Airmen — the first black fighter pilots — and he also happens to be Iain’s great-grandfather.
348,0.99751747,"Days later, the criminal alien went on a gruesome spree of deadly violence.",,466,0.45004108,It is totally up to them.
371,0.99747169,My administration has ended catch and release.,,503,0.4480582,We are Americans.
94,0.99740231,"Our roaring economy has, for the first time ever, given many former prisoners the ability to get a great job and a fresh start.",,318,0.44764584,"As we support America’s moms and dads, I was recently proud to sign the law providing new parents in the federal workforce paid family leave, serving as a model for the rest of the country."
242,0.99723059,That is why I signed an executive order requiring price transparency.,,5,0.44550559,"Jobs are booming, incomes are soaring, poverty is plummeting, crime is falling, confidence is surging, and our country is thriving and highly respected again."
36,0.9961499,"And very incredibly, the average unemployment rate under my administration is lower than any administration in the history of our country.",,14,0.44501745,We have totally rejected the downsizing.
127,0.99492836,I also promised our citizens that I would impose tariffs to confront China’s massive theft of America’s jobs.,,202,0.44399501,The programs are so popular that tens of thousands of students remain on a waiting list.
268,0.99419618,"I’ve been speaking to Senator Chuck Grassley of Iowa and others in Congress in order to get something on drug pricing done, and done quickly and properly.",,506,0.44174576,"We settled the New World, we built the modern world, and we changed history forever by embracing the eternal truth that everyone is made equal by the hand of Almighty God."
281,0.99362612,We are coordinating with the Chinese government and working closely together on the coronavirus outbreak in China.,,229,0.44114178,"To expand equal opportunity, I am also proud that we achieved record and permanent funding for our nation’s historically black colleges and universities."
361,0.99352551,Senator Thom Tillis has introduced legislation to allow Americans like Jody to sue sanctuary cities and states when a loved one is hurt or killed as a result of these deadly practices.,,176,0.44081073,He was the first in his class and among the youngest at an aviation academy.
301,0.99264926,"In 2017, doctors at St. Luke’s Hospital in Kansas City delivered one of the earliest premature babies ever to survive.",,70,0.43934371,Real median household income is now at the highest level ever recorded.
176,0.99118924,He was the first in his class and among the youngest at an aviation academy.,,96,0.43802515,"Everybody said that criminal justice reform couldn’t be done, but I got it done, and the people in this room got it done."
86,0.99091482,"After struggling with drug addiction, Tony lost his job, his house, and his family.",,81,0.43702225,"In other words, wealthy people and companies are pouring money into poor neighborhoods or areas that haven’t seen investment in many decades, creating jobs, energy, and excitement."
354,0.99044609,"Rocky was at a gas station when this vile criminal fired eight bullets at him from close range, murdering him in cold blood.",,188,0.4369051,"A few weeks ago, I signed a bill promoting Charles McGee to Brigadier General."
225,0.98963773,"Through our Pledge to American Workers, over 400 companies will also provide new jobs and education opportunities to almost 15 million Americans.",,162,0.43508311,"We have purchased the finest planes, missiles, rockets, ships, and every other form of military equipment, and it’s all made right here in the USA."
254,0.98894393,"Their systems are totally out of control, costing taxpayers vast and unaffordable amounts of money.",,135,0.43361607,We are rebuilding our country.
83,0.98767948,This is the first time that these deserving communities have seen anything like this.,,341,0.43345826,"Just 29 days ago, a criminal alien freed by the sanctuary city of New York was charged with the brutal rape and murder of a 92-year-old woman."
185,0.98594135,"After more than 130 combat missions in World War Two, he came back home to a country still struggling for civil rights and went on to serve America in Korea and Vietnam.",,201,0.43303126,"To rescue these students, 18 states have created school choice in the form of Opportunity Scholarships."
339,0.98494267,"Tragically, there are many cities in America where radical politicians have chosen to provide sanctuary for these criminal illegal aliens.",,414,0.43217756,"Last week, I announced a groundbreaking plan for peace between Israel and the Palestinians."
349,0.98339593,He viciously shot one man going about his daily work.,,50,0.4316014,The veterans unemployment rate dropped to a record low.
81,0.98079121,"In other words, wealthy people and companies are pouring money into poor neighborhoods or areas that haven’t seen investment in many decades, creating jobs, energy, and excitement.",,56,0.42993791,A record number of young Americans are now employed.
340,0.97578955,"AUDIENCE: Booo —
 
 THE PRESIDENT: In sanctuary cities, local officials order police to release dangerous criminal aliens to prey upon the public, instead of handing them over to ICE to be safely removed.",,113,0.42786464,"Following NAFTA’s adoption, our nation lost one in four manufacturing jobs."
381,0.97513616,"Days ago, Agent Ortiz was promoted to Deputy Chief of Border Patrol, and he joins us tonight.",,367,0.42563919,"And I have signed nine pieces of legislation to stamp out the menace of human trafficking, domestically and all around the globe."
220,0.97112167,"For this reason, our magnificent First Lady has launched the BE BEST initiative to advance a safe, healthy, supportive, and drug-free life for the next generation — online, in school, and in our communities.",,504,0.42401446,We are pioneers.
412,0.97089189,My administration is also strongly defending our national security and combating radical Islamic terrorism.,,127,0.42188831,I also promised our citizens that I would impose tariffs to confront China’s massive theft of America’s jobs.
14,0.96933728,We have totally rejected the downsizing.,,112,0.42163588,"In fact, unfair trade is perhaps the single biggest reason that I decided to run for President."
119,0.96379352,"The USMCA will create nearly 100,000 new high-paying American auto jobs, and massively boost exports for our farmers, ranchers, and factory workers.",,449,0.42069487,"The terrorist responsible for killing Sergeant Hake was Qasem Soleimani, who provided the deadly roadside bomb that took Chris’s life."
426,0.96125436,"After more than 500 horrifying days of captivity, al-Baghdadi murdered young, beautiful Kayla.",,13,0.4202189,"In just three short years, we have shattered the mentality of American decline, and we have rejected the downsizing of America’s destiny."
8,0.96084958,The years of economic decay are over.,,514,0.418563,Our most thrilling stories are not yet told.
453,0.94725883,Was actively planning new attacks when we hit him very hard.,,94,0.41829526,"Our roaring economy has, for the first time ever, given many former prisoners the ability to get a great job and a fresh start."
77,0.9452399,Consumer confidence has just reached amazing new highs.,,505,0.41759771,We are the pathfinders.
499,0.94378453,"Our ancestors braved the unknown; tamed the wilderness; settled the Wild West; lifted millions from poverty, disease, and hunger; vanquished tyranny and fascism; ushered the world to new heights of science and medicine; laid down the railroads, dug out the canals, raised up the skyscrapers.",,513,0.41216438,Our brightest discoveries are not yet known.
3,0.93135577,"Madam Speaker, Mr. Vice President, members of Congress, the First Lady of the United States — (applause) — and my fellow citizens:
 
 Three years ago, we launched the great American comeback.",,125,0.4091516,This is the first major trade deal in many years to earn the strong backing of America’s labor unions.
469,0.93048841,"In Afghanistan, the determination and valor of our warfighters has allowed us to make tremendous progress, and peace talks are now underway.",,352,0.40577431,"He hijacked a truck and smashed into vehicles, critically injuring innocent victims."
110,0.92762178,One of the biggest promises I made to the American people was to replace the disastrous NAFTA trade deal.,,95,0.40448213,This second chance at life is made possible because we passed landmark criminal justice reform into law.
351,0.92505759,He walked into a convenience store and wildly fired his weapon.,,103,0.4044661,"Likewise, we are restoring our nation’s manufacturing might, even though predictions were, as you all know, that this could never, ever be done."
88,0.92387098,But then Tony found a construction company that invests in Opportunity Zones.,,354,0.40216587,"Rocky was at a gas station when this vile criminal fired eight bullets at him from close range, murdering him in cold blood."
410,0.92226166,I am asking Congress to fully fund the Artemis program to ensure that the next man and the first woman on the Moon will be American astronauts — (applause) — using this as a launching pad to ensure that America is the first nation to plant its flag on Mars.,,209,0.39967393,Janiyah and Stephanie are in the Gallery.
287,0.92063493,"Here tonight is a special man, beloved by millions of Americans who just received a Stage 4 advanced cancer diagnosis.",,353,0.39569623,"One of the victims is — a terrible, terrible situation; died — 51-year-old American named Rocky Jones."
95,0.91747922,This second chance at life is made possible because we passed landmark criminal justice reform into law.,,451,0.39500704,"As the world’s top terrorist, Soleimani orchestrated the deaths of countless men, women, and children."
96,0.8892985,"Everybody said that criminal justice reform couldn’t be done, but I got it done, and the people in this room got it done.",,336,0.39429411,"That means supporting the men and women of law enforcement at every level, including our nation’s heroic ICE officers."
459,0.88807815,"In recent months, we have seen proud Iranians raise their voices against their oppressive rulers.",,420,0.39295683,"After graduating from college, their beautiful daughter Kayla became a humanitarian aid worker."
146,0.8425222,"Joining us in the Gallery is the true and legitimate President of Venezuela, Juan Guaidó.",,110,0.39212874,One of the biggest promises I made to the American people was to replace the disastrous NAFTA trade deal.
313,0.83928716,That is why I’m asking Congress to provide an additional $50 million to fund neonatal research for America’s youngest patients.,,434,0.39047698,One of these American heroes was Army Staff Sergeant Christopher Hake.
247,0.80015934,"But as we work to improve Americans’ healthcare, there are those who want to take away your healthcare, take away your doctor, and abolish private insurance entirely.",,291,0.38786098,"And, Rush, in recognition of all that you have done for our nation, the millions of people a day that you speak to and that you inspire, and all of the incredible work that you have done for charity, I am proud to announce tonight that you will be receiving our country’s highest civilian honor, the Presidential Medal of Freedom."
405,0.77670008,"Just as we believe in the First Amendment, we also believe in another constitutional right that is under siege all across our country.",,473,0.38655124,We are working to finally end America’s longest war and bring our troops back home.
350,0.75506991,He approached a woman sitting in her car and shot her in the arm and in the chest.,,123,0.38518416,"And I say that, finally, because it’s been many, many years that we were treated fairly on trade."
