index,score,text,,index,score,text
200,0.99995518,My administration has sent to Congress a commonsense proposal to end the crisis on the southern border.,,48,0.62627077,Nearly 5 million Americans have been lifted off food stamps.
75,0.99995089,The United States is now the number-one producer of oil and natural gas anywhere in the world.,,136,0.62274051,"Over the next two decades, he completed more than 30 Bible studies, became a law clerk, and mentored many of his fellow inmates."
168,0.99994826,"Tens of thousands of innocent Americans are killed by lethal drugs that cross our border and flood into our cities, including meth, heroin, cocaine, and fentanyl.",,165,0.60273311,One in three women is sexually assaulted on the long journey north.
70,0.99994648,My administration has cut more regulations in a short period of time than any other administration during its entire tenure.,,292,0.5933829,"At the same time, she rallied her community and raised more than $40,000 for the fight against cancer."
15,0.9999392,"On D-Day, June 6th, 1944, 15,000 young American men jumped from the sky, and 60,000 more stormed in from the sea, to save our civilization from tyranny.",,135,0.57925588,"In 1996, at the age of 30, Matthew was sentenced to 35 years for selling drugs and related offenses."
56,0.99993908,"African American, Hispanic American, and Asian American unemployment have all reached their lowest levels ever recorded.",,419,0.5783086,"Judah says he can still remember the exact moment, nearly 75 years ago, after 10 months in a concentration camp, when he and his family were put on a train and told they were going to another camp."
193,0.9999224,"Today, he leads investigations into the scourge of international sex trafficking.",,361,0.57609746,"In Afghanistan and Iraq, nearly 7,000 American heroes have given their lives."
62,0.99991763,We passed a massive tax cut for working families and doubled the child tax credit.,,178,0.57295594,"They were in their eighties, and are survived by 4 children, 11 grandchildren, and 20 great-grandchildren."
314,0.99991572,"Over the last two years, we have begun to fully rebuild the United States military, with $700 billion last year and $716 billion this year.",,237,0.57114006,"As part of our commitment to improving opportunity for women everywhere, this Thursday we are launching the first-ever government-wide initiative focused on economic empowerment for women in developing countries."
54,0.99990964,Unemployment has reached the lowest rate in over half a century.,,333,0.56715515,"Our hostages have come home, nuclear testing has stopped, and there has not been a missile launch in more than 15 months."
228,0.99990082,"And exactly one century after Congress passed the constitutional amendment giving women the right to vote, we also have more women serving in Congress than at any time before.",,429,0.54970111,I began this evening by honoring three soldiers who fought on D-Day in the Second World War.
325,0.99990022,"For example, decades ago, the United States entered into a treaty with Russia in which we agreed to limit and reduce our missile capability.",,126,0.53740205,"Inspired by stories like Alice’s, my administration worked closely with members of both parties to sign the FIRST STEP Act into law."
46,0.99989915,"Wages are rising at the fastest pace in decades and growing for blue-collar workers, who I promised to fight for.",,412,0.5367552,"But not only did Judah narrowly escape death last fall, more than seven decades ago, he narrowly survived the Nazi concentration camps."
401,0.99989915,SWAT Officer Timothy Matson raced into the gunfire and was shot seven times chasing down the killer.,,54,0.52832582,Unemployment has reached the lowest rate in over half a century.
202,0.99988627,"In the past, most of the people in this room voted for a wall, but the proper wall never got built.",,177,0.52732359,"Just three weeks ago, Debra’s parents, Gerald and Sharon, were burglarized and shot to death in their Reno, Nevada home by an illegal alien."
393,0.99987042,"To ensure this corrupt dictatorship never acquires nuclear weapons, I withdrew the United States from the disastrous Iran nuclear deal.",,70,0.52581271,My administration has cut more regulations in a short period of time than any other administration during its entire tenure.
41,0.99981552,"In just over two years since the election, we have launched an unprecedented economic boom — a boom that has rarely been seen before.",,13,0.52164812,"In June, we mark 75 years since the start of what General Dwight D. Eisenhower called the “Great Crusade” — the Allied liberation of Europe in World War II."
375,0.99978393,"In Afghanistan, my administration is holding constructive talks with a number of Afghan groups, including the Taliban.",,40,0.52077618,"Over the last two years, my administration has moved with urgency and historic speed to confront problems neglected by leaders of both parties over many decades."
66,0.9997831,We eliminated the very unpopular Obamacare individual mandate penalty.,,169,0.51749577,"The savage gang, MS-13, now operates in at least 20 different American states, and they almost all come through our southern border."
367,0.99975103,"When I took office, ISIS controlled more than 20,000 square miles in Iraq and Syria — just two years ago.",,360,0.51263114,Our brave troops have now been fighting in the Middle East for almost 19 years.
72,0.99971539,Companies are coming back to our country in large numbers thanks to our historic reductions in taxes and regulations.,,358,0.51082293,"For this reason, my administration recognized the true capital of Israel, and proudly opened the American Embassy in Jerusalem."
137,0.99970597,"Now, Matthew is the very first person to be released from prison under the FIRST STEP Act.",,428,0.51037202,"“To me,” Joshua recalls, “the American soldiers were proof that God exists, and they came down from the sky.” They came down from Heaven."
126,0.9997049,"Inspired by stories like Alice’s, my administration worked closely with members of both parties to sign the FIRST STEP Act into law.",,448,0.50273558,"Everything that has come since — our triumph over communism, our giant leaps of science and discovery, our unrivaled progress towards equality and justice — all of it is possible thanks to the blood and tears and courage and vision of the Americans who came before."
,,,,,,
450,0.99969328,"Think of this very Chamber, where lawmakers before you voted to end slavery, to build the railroads and the highways, and defeat fascism, to secure civil rights, and to face down evil empires.",,46,0.49912625,"Wages are rising at the fastest pace in decades and growing for blue-collar workers, who I promised to fight for."
237,0.9996711,"As part of our commitment to improving opportunity for women everywhere, this Thursday we are launching the first-ever government-wide initiative focused on economic empowerment for women in developing countries.",,173,0.49852017,"Year after year, countless Americans are murdered by criminal illegal aliens."
58,0.99963832,Unemployment for Americans with disabilities has also reached an all-time low.,,41,0.49717005,"In just over two years since the election, we have launched an unprecedented economic boom — a boom that has rarely been seen before."
135,0.99958688,"In 1996, at the age of 30, Matthew was sentenced to 35 years for selling drugs and related offenses.",,386,0.49672349,"We are honored to be joined tonight by Tom Wibberley, whose son, Navy Seaman Craig Wibberley, was one of the 17 sailors we tragically lost."
432,0.99958187,"A year after he stormed the beaches of Normandy, Herman was one of the American soldiers who helped liberate Dachau.",,209,0.49662113,San Diego used to have the most illegal border crossings in our country.
368,0.99957627,"Today, we have liberated virtually all of the territory from the grip of these bloodthirsty monsters.",,130,0.49643306,This legislation reformed sentencing laws that have wrongly and disproportionately harmed the African American community.
136,0.9995659,"Over the next two decades, he completed more than 30 Bible studies, became a law clerk, and mentored many of his fellow inmates.",,200,0.49607453,My administration has sent to Congress a commonsense proposal to end the crisis on the southern border.
149,0.99926633,"I have ordered another 3,750 troops to our southern border to prepare for this tremendous onslaught.",,253,0.49473921,"I hope you can pass the USMCA into law so that we can bring back our manufacturing jobs in even greater numbers, expand American agriculture, protect intellectual property, and ensure that more cars are proudly stamped with our four beautiful words: “Made in the USA.” (Applause.)"
245,0.99905032,"I have great respect for President Xi, and we are now working on a new trade deal with China.",,149,0.48833997,"I have ordered another 3,750 troops to our southern border to prepare for this tremendous onslaught."
111,0.99901998,"In 1997, Alice was sentenced to life in prison as a first-time non-violent drug offender.",,137,0.4862966,"Now, Matthew is the very first person to be released from prison under the FIRST STEP Act."
177,0.99898082,"Just three weeks ago, Debra’s parents, Gerald and Sharon, were burglarized and shot to death in their Reno, Nevada home by an illegal alien.",,62,0.48023301,We passed a massive tax cut for working families and doubled the child tax credit.
328,0.99866223,"That is why I announced that the United States is officially withdrawing from the Intermediate-Range Nuclear Forces Treaty, or INF Treaty.",,96,0.47700842,This new era of cooperation can start with finally confirming the more than 300 highly qualified nominees who are still stuck in the Senate.
211,0.99861372,This powerful barrier almost completely ended illegal crossings.,,16,0.47256444,"Here with us tonight are three of those incredible heroes: Private First Class Joseph Reilly, Staff Sergeant Irving Locker, and Sergeant Herman Zeitchik."
360,0.99853885,Our brave troops have now been fighting in the Middle East for almost 19 years.,,266,0.46816274,"It’s unacceptable that Americans pay vastly more than people in other countries for the exact same drugs, often made in the exact same place."
395,0.99828595,"And last fall, we put in place the toughest sanctions ever imposed by us on a country.",,323,0.46791696,"As part of our military build-up, the United States is developing a state-of-the-art missile defense system."
212,0.99823761,"The border city of El Paso, Texas used to have extremely high rates of violent crime — one of the highest in the entire country, and considered one of our nation’s most dangerous cities.",,2,0.46516738,"Millions of our fellow citizens are watching us now, gathered in this great chamber, hoping that we will govern not as two parties but as one nation."
390,0.99819452,My administration has acted decisively to confront the world’s leading state sponsor of terror: the radical regime in Iran.,,432,0.46026679,"A year after he stormed the beaches of Normandy, Herman was one of the American soldiers who helped liberate Dachau."
173,0.99797767,"Year after year, countless Americans are murdered by criminal illegal aliens.",,21,0.45921297,"Half a century later, we are joined by one of the Apollo 11 astronauts who planted that flag: Buzz Aldrin."
6,0.9974016,"Many of us have campaigned on the same core promises: to defend American jobs and demand fair trade for American workers; to rebuild and revitalize our nation’s infrastructure; to reduce the price of healthcare and prescription drugs; to create an immigration system that is safe, lawful, modern, and secure; and to pursue a foreign policy that puts America’s interests first.",,202,0.45206528,"In the past, most of the people in this room voted for a wall, but the proper wall never got built."
167,0.997006,Human traffickers and sex traffickers take advantage of the wide-open areas between our ports of entry to smuggle thousands of young girls and women into the United States and to sell them into prostitution and modern-day slavery.,,326,0.4485662,"While we followed the agreement and the rules to the letter, Russia repeatedly violated its terms."
412,0.99675614,"But not only did Judah narrowly escape death last fall, more than seven decades ago, he narrowly survived the Nazi concentration camps.",,148,0.44375051,"We have just heard that Mexican cities, in order to remove the illegal immigrants from their communities, are getting trucks and buses to bring them up to our country in areas where there is little border protection."
103,0.99670011,"In the last Congress, both parties came together to pass unprecedented legislation to confront the opioid crisis, a sweeping new farm bill, historic VA reforms.",,103,0.44329446,"In the last Congress, both parties came together to pass unprecedented legislation to confront the opioid crisis, a sweeping new farm bill, historic VA reforms."
79,0.99506408,"After 24 months of rapid progress, our economy is the envy of the world, our military is the most powerful on Earth, by far, and America — (applause) — America is again winning each and every day.",,427,0.44196617,He remembers watching through a hole in the wall of a cattle car as American soldiers rolled in with tanks.
171,0.99448907,We are removing these gang members by the thousands.,,400,0.43891746,"Just months ago, 11 Jewish-Americans were viciously murdered in an anti-Semitic attack on the Tree of Life synagogue in Pittsburgh."
147,0.99303931,"As we speak, large, organized caravans are on the march to the United States.",,64,0.43888171,"We virtually ended the estate tax — or death tax, as it is often called — on small businesses for ranchers and also for family farms."
106,0.99110657,"And just weeks ago, both parties united for groundbreaking criminal justice reform.",,256,0.43166974,Both parties should be able to unite for a great rebuilding of America’s crumbling infrastructure.
241,0.98702872,"We are now making it clear to China that, after years of targeting our industries and stealing our intellectual property, the theft of American jobs and wealth has come to an end.",,50,0.43157829,The U.S. economy is growing almost twice as fast today as when I took office.
292,0.98669809,"At the same time, she rallied her community and raised more than $40,000 for the fight against cancer.",,384,0.4208287,"And last month, American forces killed one of the leaders of that attack."
165,0.98653632,One in three women is sexually assaulted on the long journey north.,,201,0.42005296,"It includes humanitarian assistance, more law enforcement, drug detection at our ports, closing loopholes that enable child smuggling, and plans for a new physical barrier, or wall, to secure the vast areas between our ports of entry."
323,0.98518515,"As part of our military build-up, the United States is developing a state-of-the-art missile defense system.",,156,0.4191636,"I want people to come into our country in the largest numbers ever, but they have to come in legally."
339,0.98310089,"Two weeks ago, the United States officially recognized the legitimate government of Venezuela — (applause) — and its new President, Juan Guaidó.",,111,0.41776038,"In 1997, Alice was sentenced to life in prison as a first-time non-violent drug offender."
434,0.98295206,He was one of the Americans who helped rescue Joshua from that hell on Earth.,,390,0.4174408,My administration has acted decisively to confront the world’s leading state sponsor of terror: the radical regime in Iran.
21,0.98162788,"Half a century later, we are joined by one of the Apollo 11 astronauts who planted that flag: Buzz Aldrin.",,401,0.41583858,SWAT Officer Timothy Matson raced into the gunfire and was shot seven times chasing down the killer.
419,0.97962827,"Judah says he can still remember the exact moment, nearly 75 years ago, after 10 months in a concentration camp, when he and his family were put on a train and told they were going to another camp.",,341,0.41559062,"We stand with the Venezuelan people in their noble quest for freedom, and we condemn the brutality of the Maduro regime, whose socialist policies have turned that nation from being the wealthiest in South America into a state of abject poverty and despair."
130,0.9785791,This legislation reformed sentencing laws that have wrongly and disproportionately harmed the African American community.,,112,0.41518887,"Over the next 22 years, she became a prison minister, inspiring others to choose a better path."
370,0.97840369,I have also accelerated our negotiations to reach — if possible — a political settlement in Afghanistan.,,213,0.41482475,"Now, immediately upon its building, with a powerful barrier in place, El Paso is one of the safest cities in our country."
116,0.97796738,"In June, I commuted Alice’s sentence.",,144,0.41302336,"Congress has 10 days left to pass a bill that will fund our government, protect our homeland, and secure our very dangerous southern border."
384,0.9776929,"And last month, American forces killed one of the leaders of that attack.",,6,0.4125677,"Many of us have campaigned on the same core promises: to defend American jobs and demand fair trade for American workers; to rebuild and revitalize our nation’s infrastructure; to reduce the price of healthcare and prescription drugs; to create an immigration system that is safe, lawful, modern, and secure; and to pursue a foreign policy that puts America’s interests first."
189,0.97671825,We are joined tonight by one of those law enforcement heroes: ICE Special Agent Elvin Hernandez.,,393,0.41044489,"To ensure this corrupt dictatorship never acquires nuclear weapons, I withdrew the United States from the disastrous Iran nuclear deal."
209,0.97623766,San Diego used to have the most illegal border crossings in our country.,,145,0.40910906,"Now is the time for Congress to show the world that America is committed to ending illegal immigration and putting the ruthless coyotes, cartels, drug dealers, and human traffickers out of business."
104,0.9755047,"And after four decades of rejection, we passed VA Accountability so that we can finally terminate those who mistreat our wonderful veterans.",,325,0.40895602,"For example, decades ago, the United States entered into a treaty with Russia in which we agreed to limit and reduce our missile capability."
383,0.97454655,"Eighteen years ago, violent terrorists attacked the USS Cole.",,245,0.40851105,"I have great respect for President Xi, and we are now working on a new trade deal with China."
266,0.97228766,"It’s unacceptable that Americans pay vastly more than people in other countries for the exact same drugs, often made in the exact same place.",,294,0.40850943,"When Grace completed treatment last fall, her doctors and nurses cheered — they loved her; they still love her — with tears in their eyes as she hung up a poster that read: “Last day of chemo.” (Applause.)"
422,0.96487302,Judah’s family braced for the absolute worst.,,337,0.40806375,Chairman Kim and I will meet again on February 27th and 28th in Vietnam.
341,0.96248078,"We stand with the Venezuelan people in their noble quest for freedom, and we condemn the brutality of the Maduro regime, whose socialist policies have turned that nation from being the wealthiest in South America into a state of abject poverty and despair.",,411,0.40780206,He arrived at the synagogue as the massacre began.
307,0.95880348,"And then, we had the case of the Governor of Virginia where he stated he would execute a baby after birth.",,77,0.40510231,"And now, for the first time in 65 years, we are a net exporter of energy."
210,0.95341039,"In response, a strong security wall was put in place.",,274,0.40423268,"In recent years — (applause) — in recent years, we have made remarkable progress in the fight against HIV and AIDS."
440,0.95197117,"When American soldiers set out beneath the dark skies over the English Channel in the early hours of D-Day, 1944, they were just young men of 18 and 19, hurtling on fragile landing craft toward the most momentous battle in the history of war.",,413,0.40323842,Today is Judah’s 81st birthday.
358,0.94275969,"For this reason, my administration recognized the true capital of Israel, and proudly opened the American Embassy in Jerusalem.",,273,0.4021706,No force in history has done more to advance the human condition than American freedom.
326,0.93525493,"While we followed the agreement and the rules to the letter, Russia repeatedly violated its terms.",,459,0.40063235,Our biggest victories are still to come.
96,0.93063182,This new era of cooperation can start with finally confirming the more than 300 highly qualified nominees who are still stuck in the Senate.,,424,0.4006134,It’s the Americans!” (Applause.)
213,0.92439812,"Now, immediately upon its building, with a powerful barrier in place, El Paso is one of the safest cities in our country.",,403,0.3987656,"Timothy has just had his 12th surgery, and he is going in for many more."
132,0.9172197,Now states across the country are following our lead.,,328,0.39837504,"That is why I announced that the United States is officially withdrawing from the Intermediate-Range Nuclear Forces Treaty, or INF Treaty."
411,0.8934828,He arrived at the synagogue as the massacre began.,,26,0.3971079,"In the 20th century, America saved freedom, transformed science, redefined the middle class, and, when you get down to it, there’s nothing anywhere in the world that can compete with America."
302,0.88550699,"I am also proud to be the first President to include in my budget a plan for nationwide paid family leave, so that every new parent has the chance to bond with their newborn child.",,287,0.39659859,"Every birthday since she was four, Grace asked her friends to donate to St. Jude’s Children’s Hospital."
334,0.88470703,"If I had not been elected President of the United States, we would right now, in my opinion, be in a major war with North Korea.",,395,0.39475524,"And last fall, we put in place the toughest sanctions ever imposed by us on a country."
113,0.87618691,"She had a big impact on that prison population, and far beyond.",,51,0.38929598,"And we are considered, far and away, the hottest economy anywhere in the world."
291,0.8727237,"Immediately, she began radiation treatment.",,375,0.388936,"In Afghanistan, my administration is holding constructive talks with a number of Afghan groups, including the Taliban."
446,0.83990717,They did it for America.,,223,0.38890795,All Americans can be proud that we have more women in the workforce than ever before.
298,0.82706487,Many childhood cancers have not seen new therapies in decades.,,422,0.38834333,Judah’s family braced for the absolute worst.
289,0.82605511,That’s what happened.,,106,0.38756242,"And just weeks ago, both parties united for groundbreaking criminal justice reform."
420,0.82228166,"Suddenly, the train screeched to a very strong halt.",,305,0.38547408,Lawmakers in New York cheered with delight upon the passage of legislation that would allow a baby to be ripped from the mother’s womb moments from birth.
162,0.79646951,"Meanwhile, working-class Americans are left to pay the price for mass illegal migration: reduced jobs, lower wages, overburdened schools, hospitals that are so crowded you can’t get in, increased crime, and a depleted social safety net.",,290,0.38189154,"Last year, Grace was diagnosed with brain cancer."
20,0.7753486,"In 2019, we also celebrate 50 years since brave young pilots flew a quarter of a million miles through space to plant the American flag on the face of the moon.",,0,0.38073462,"THE PRESIDENT: Madam Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States — (applause) — and my fellow Americans:
 
 We meet tonight at a moment of unlimited potential."
13,0.77125889,"In June, we mark 75 years since the start of what General Dwight D. Eisenhower called the “Great Crusade” — the Allied liberation of Europe in World War II.",,339,0.38017275,"Two weeks ago, the United States officially recognized the legitimate government of Venezuela — (applause) — and its new President, Juan Guaidó."
327,0.76323205,It’s been going on for many years.,,258,0.37922583,"I know that Congress is eager to pass an infrastructure bill, and I am eager to work with you on legislation to deliver new and important infrastructure investment, including investments in the cutting-edge industries of the future."
47,0.75864744,They’re growing faster than anyone else thought possible.,,56,0.37790205,"African American, Hispanic American, and Asian American unemployment have all reached their lowest levels ever recorded."
251,0.75738061,"For years, politicians promised them they would renegotiate for a better deal, but no one ever tried, until now.",,334,0.37736342,"If I had not been elected President of the United States, we would right now, in my opinion, be in a major war with North Korea."
115,0.74570596,She served almost that 22 years and had expected to be in prison for the remainder of her life.,,206,0.37649754,It will be deployed in the areas identified by the border agents as having the greatest need.
252,0.71266115,"Our new U.S.-Mexico-Canada Agreement, the USMCA, will replace NAFTA and deliver for American workers like they haven’t had delivered to for a long time.",,167,0.37294075,Human traffickers and sex traffickers take advantage of the wide-open areas between our ports of entry to smuggle thousands of young girls and women into the United States and to sell them into prostitution and modern-day slavery.
294,0.70480597,"When Grace completed treatment last fall, her doctors and nurses cheered — they loved her; they still love her — with tears in their eyes as she hung up a poster that read: “Last day of chemo.” (Applause.)",,378,0.37273734,"We do not know whether we will achieve an agreement, but we do know that, after two decades of war, the hour has come to at least try for peace."
166,0.6487127,Smugglers use migrant children as human pawns to exploit our laws and gain access to our country.,,372,0.36915628,Our troops have fought with unmatched valor.
51,0.64699179,"And we are considered, far and away, the hottest economy anywhere in the world.",,452,0.36759423,You have come from the rocky shores of Maine and the volcanic peaks of Hawaii; from the snowy woods of Wisconsin and the red deserts of Arizona; from the green farms of Kentucky and the golden beaches of California.
249,0.61977834,Another historic trade blunder was the catastrophe known as NAFTA.,,192,0.36491951,"At the age of eight, Elvin told his dad he wanted to become a Special Agent."
287,0.61863256,"Every birthday since she was four, Grace asked her friends to donate to St. Jude’s Children’s Hospital.",,166,0.36252892,Smugglers use migrant children as human pawns to exploit our laws and gain access to our country.
290,0.60412979,"Last year, Grace was diagnosed with brain cancer.",,131,0.36178727,"The FIRST STEP Act gives non-violent offenders the chance to reenter society as productive, law-abiding citizens."
187,0.59904313,Not one more American life should be lost because our nation failed to control its very dangerous border.,,79,0.35920339,"After 24 months of rapid progress, our economy is the envy of the world, our military is the most powerful on Earth, by far, and America — (applause) — America is again winning each and every day."
305,0.57678551,Lawmakers in New York cheered with delight upon the passage of legislation that would allow a baby to be ripped from the mother’s womb moments from birth.,,132,0.35676842,Now states across the country are following our lead.
114,0.57197458,"Alice’s story underscores the disparities and unfairness that can exist in criminal sentencing, and the need to remedy this total injustice.",,346,0.35180194,We are born free and we will stay free.
112,0.54545599,"Over the next 22 years, she became a prison minister, inspiring others to choose a better path.",,58,0.35160013,Unemployment for Americans with disabilities has also reached an all-time low.
447,0.54022735,They did it for us.,,276,0.34943573,My budget will ask Democrats and Republicans to make the needed commitment to eliminate the HIV epidemic in the United States within 10 years.
74,0.53115606,And we have unleashed a revolution in American energy.,,357,0.34864391,"Our approach is based on principled realism, not discredited theories that have failed for decades to yield progress."
156,0.52658373,"I want people to come into our country in the largest numbers ever, but they have to come in legally.",,160,0.34688514,"Wealthy politicians and donors push for open borders while living their lives behind walls, and gates, and guards."
386,0.47491717,"We are honored to be joined tonight by Tom Wibberley, whose son, Navy Seaman Craig Wibberley, was one of the 17 sailors we tragically lost.",,151,0.34687068,"The lawless state of our southern border is a threat to the safety, security, and financial wellbeing of all America."
144,0.43016234,"Congress has 10 days left to pass a bill that will fund our government, protect our homeland, and secure our very dangerous southern border.",,171,0.34602934,We are removing these gang members by the thousands.
68,0.42083603,"And to give critically ill patients access to lifesaving cures, we passed, very importantly, Right to Try.",,383,0.3451742,"Eighteen years ago, violent terrorists attacked the USS Cole."
223,0.34140071,All Americans can be proud that we have more women in the workforce than ever before.,,241,0.34421684,"We are now making it clear to China that, after years of targeting our industries and stealing our intellectual property, the theft of American jobs and wealth has come to an end."
81,0.33549786,Members of Congress: The state of our union is strong.,,271,0.34411991,"We should also require drug companies, insurance companies, and hospitals to disclose real prices to foster competition and bring costs way down."
364,0.33164096,"As a candidate for President, I loudly pledged a new approach.",,117,0.34408165,"When I saw Alice’s beautiful family greet her at the prison gates, hugging and kissing and crying and laughing, I knew I did something right."
273,0.32864288,No force in history has done more to advance the human condition than American freedom.,,435,0.34257301,"Almost 75 years later, Herman and Joshua are both together in the gallery tonight, seated side-by-side, here in the home of American freedom."
403,0.31813353,"Timothy has just had his 12th surgery, and he is going in for many more.",,250,0.34245836,"I have met the men and women of Michigan, Ohio, Pennsylvania, Indiana, New Hampshire, and many other states whose dreams were shattered by the signing of NAFTA."
26,0.2849296,"In the 20th century, America saved freedom, transformed science, redefined the middle class, and, when you get down to it, there’s nothing anywhere in the world that can compete with America.",,189,0.33884563,We are joined tonight by one of those law enforcement heroes: ICE Special Agent Elvin Hernandez.
299,0.26832235,My budget will ask Congress for $500 million over the next 10 years to fund this critical lifesaving research.,,319,0.33747497,"For years, the United States was being treated very unfairly by friends of ours, members of NATO."
192,0.25051129,"At the age of eight, Elvin told his dad he wanted to become a Special Agent.",,74,0.33725777,And we have unleashed a revolution in American energy.
107,0.18881078,They said it couldn’t be done.,,261,0.33481334,"The next major priority for me, and for all of us, should be to lower the cost of healthcare and prescription drugs, and to protect patients with preexisting conditions."
